AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Complain,Education,Income,Kidhome,Marital_Status,MntFishProducts,MntFruits,MntGoldProds,MntMeatProducts,MntSweetProducts,MntWines,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Teenhome,Time_Customer,Response
0,0,0,0,0,74,0,Master,49389,1,Single,2,0,3,19,1,40,0,1,3,2,7,55,1,11.621917808219179,0
0,0,0,0,0,50,0,Graduation,36627,2,Divorced,0,1,1,5,0,9,0,1,3,0,5,78,0,11.723287671232876,0
0,0,0,0,0,62,0,Master,49476,0,Divorced,54,23,196,95,41,386,11,4,5,2,2,29,1,11.813698630136987,0
0,0,0,0,0,70,0,Graduation,48726,0,Married,4,3,59,38,0,138,2,3,4,3,6,90,1,11.961643835616439,0
0,0,1,0,0,35,0,2n Cycle,51250,1,Single,34,32,40,230,32,342,5,5,4,10,9,28,0,12.038356164383561,0
0,0,0,0,0,45,0,Graduation,44010,1,Together,86,36,48,234,72,186,2,6,6,10,9,46,0,12.498630136986302,0
0,0,0,0,0,55,0,Graduation,33986,1,Divorced,2,2,5,18,1,16,0,1,3,1,7,43,0,12.082191780821917,0
0,0,0,0,0,49,0,Master,30560,1,Together,4,1,7,5,5,9,0,1,3,1,7,6,0,11.794520547945206,0
0,0,0,0,0,74,0,Graduation,80872,0,Single,94,72,108,567,12,483,4,1,10,4,1,60,0,10.92054794520548,0
0,0,0,0,0,64,0,Graduation,27116,1,Married,2,1,3,21,2,12,0,2,3,2,7,78,1,11.115068493150686,0
0,0,0,0,0,63,0,Master,58646,0,Married,6,1,22,44,5,62,1,1,4,2,4,3,1,11.841095890410958,0
0,0,0,1,0,59,0,Graduation,63810,0,Single,16,12,101,253,12,977,3,4,12,4,8,45,1,12.419178082191781,0
0,0,0,0,0,30,0,Graduation,34824,0,Single,2,2,4,11,0,4,0,1,2,1,6,65,0,11.04931506849315,0
0,0,0,0,0,71,0,Graduation,70044,0,Divorced,153,0,14,250,14,1073,10,4,5,7,5,46,1,12.147945205479452,0
0,0,0,0,0,54,0,Master,42835,1,Divorced,12,4,98,93,9,379,6,7,4,6,6,64,1,11.786301369863013,0
0,0,0,0,0,54,0,Graduation,31632,0,Single,11,8,32,12,15,17,1,1,2,2,7,92,0,11.747945205479452,0
0,1,0,1,0,56,0,PhD,55212,0,Married,0,0,34,45,0,1103,2,3,11,4,8,65,1,12.386301369863014,0
0,0,0,0,0,60,0,Graduation,69139,0,Married,33,12,6,75,15,86,1,1,5,4,4,23,1,11.208219178082192,0
0,0,0,0,0,58,0,Graduation,27943,1,Together,4,1,3,16,1,12,0,3,3,2,8,89,1,11.994520547945205,0
0,0,0,0,0,55,0,Master,78579,0,Divorced,216,66,99,549,66,816,6,1,4,5,3,35,0,12.306849315068494,1
0,0,0,0,0,72,0,Graduation,48794,1,Together,3,0,15,11,0,25,0,1,3,1,4,97,1,10.797260273972602,0
0,0,0,0,0,34,0,Graduation,51373,0,Married,64,2,117,101,26,83,5,1,3,3,4,37,0,11.808219178082192,0
0,0,0,0,0,70,0,Master,38452,1,Married,0,0,2,14,0,56,0,3,3,3,7,62,1,11.038356164383561,0
0,0,0,0,0,45,0,Graduation,44964,1,Together,2,1,2,17,0,19,0,1,3,1,8,35,1,12.323287671232876,0
0,0,0,0,0,73,0,Graduation,62998,0,Married,65,58,58,73,89,120,4,5,5,5,5,10,1,11.534246575342467,0
0,0,0,0,0,76,0,Master,47570,1,Widow,0,1,31,20,2,67,2,3,2,2,7,3,1,11.873972602739727,1
1,0,0,0,0,68,0,2n Cycle,77297,0,Divorced,48,61,41,109,122,408,7,1,9,5,4,84,0,12.210958904109589,0
0,0,0,0,0,66,0,Graduation,71367,0,Together,42,23,75,389,21,227,5,1,7,4,2,24,0,11.638356164383561,0
0,0,0,0,0,64,0,Graduation,16860,1,Married,3,4,14,4,3,10,1,3,3,1,7,19,1,12.583561643835617,0
0,0,0,0,1,43,0,Graduation,69109,0,Married,124,25,95,459,29,823,6,1,7,6,4,10,0,12.424657534246576,1
0,0,0,0,0,32,0,Graduation,70515,0,Single,182,0,140,452,64,420,6,1,4,6,2,12,0,11.476712328767123,1
0,0,0,0,0,54,0,Graduation,22804,1,Single,2,1,1,7,1,14,0,1,2,2,9,75,0,11.7013698630137,0
0,0,0,0,0,71,0,Graduation,86718,0,Married,50,189,172,482,33,344,6,1,5,5,2,20,0,12.235616438356164,0
0,0,0,0,0,61,0,Graduation,45989,0,Single,28,33,12,87,24,138,2,4,7,3,3,97,1,12.473972602739726,0
0,0,0,0,0,42,0,Graduation,22010,1,Together,3,2,8,9,0,11,0,2,3,2,8,51,0,11.786301369863013,0
0,0,0,0,0,61,0,PhD,65526,0,Married,12,19,9,69,0,397,4,1,8,4,2,22,1,11.005479452054795,0
0,0,0,0,0,43,0,Graduation,50272,1,Together,43,13,4,66,8,99,1,3,5,4,7,75,0,11.682191780821919,0
0,0,0,0,0,48,0,Graduation,34380,1,Married,13,7,24,58,1,72,1,4,3,4,8,68,0,11.947945205479453,0
0,0,0,0,1,51,0,Master,63206,0,Married,11,8,26,125,8,750,3,1,6,4,2,65,0,11.065753424657535,0
0,0,0,0,0,47,0,2n Cycle,25804,1,Married,13,7,12,9,6,8,0,2,3,2,8,34,0,11.613698630136986,0
0,0,0,0,0,74,0,Graduation,53790,0,Married,28,42,5,127,5,335,2,3,8,7,6,86,2,11.104109589041096,0
0,0,0,0,0,55,0,Graduation,43020,1,Single,4,7,43,99,25,45,1,3,4,4,6,79,0,11.367123287671232,0
0,0,0,0,0,64,0,Graduation,82014,0,Single,35,37,31,265,163,980,6,1,12,3,6,48,0,12.646575342465754,1
0,0,0,0,0,65,0,Graduation,62807,0,Together,10,28,99,135,21,526,3,3,12,5,5,83,1,12.616438356164384,0
0,0,0,0,0,72,0,Master,67087,0,Married,130,35,43,222,35,329,5,2,8,7,4,40,1,11.32054794520548,0
0,0,0,0,0,58,0,PhD,40304,1,Single,0,0,3,17,0,37,0,1,3,2,7,82,0,11.534246575342467,0
0,0,0,0,0,60,0,2n Cycle,46891,0,Married,29,12,61,23,15,43,1,1,4,2,4,91,1,11.613698630136986,0
0,0,0,0,0,73,0,PhD,85431,0,Together,168,53,53,462,53,376,7,1,7,2,0,54,0,11.846575342465753,0
0,0,0,0,0,56,0,Graduation,21918,1,Together,11,6,3,7,5,1,0,2,3,2,6,37,0,11.41095890410959,0
0,0,0,0,0,69,0,2n Cycle,53230,0,Married,136,72,229,98,21,176,2,4,12,5,5,86,1,12.693150684931506,0
0,0,0,0,0,74,0,Graduation,43185,0,Divorced,16,6,30,42,6,537,3,2,6,9,8,88,1,12.008219178082191,0
0,0,0,0,0,48,0,Master,78710,0,Married,119,0,50,152,50,721,6,3,12,7,4,42,1,10.89041095890411,0
0,0,0,0,0,36,0,Graduation,9255,1,Single,2,0,4,7,0,9,1,1,2,1,8,91,0,11.312328767123288,0
0,0,0,0,0,34,0,Graduation,8028,0,Single,7,18,2,66,12,73,1,15,0,0,19,62,0,12.567123287671233,0
0,0,0,0,0,69,0,2n Cycle,31395,1,Divorced,0,1,7,25,8,23,1,4,3,2,6,80,1,12.057534246575342,0
0,0,0,1,0,68,0,Graduation,50116,1,Together,0,0,2,10,0,54,0,2,4,1,5,68,1,10.813698630136987,0
0,0,0,0,0,46,0,Graduation,61825,0,Single,55,50,27,100,30,162,2,1,8,4,4,56,1,11.682191780821919,0
0,0,0,0,0,73,0,Master,59354,1,Divorced,3,2,14,53,5,233,1,3,5,6,6,53,1,11.408219178082192,0
0,0,0,0,0,66,0,Graduation,61250,0,Divorced,60,138,59,65,26,382,2,6,12,5,5,49,1,12.323287671232876,0
0,0,0,0,0,59,0,PhD,7144,0,Single,5,4,291,33,2,81,1,0,1,23,0,92,2,11.347945205479451,0
0,0,0,0,0,66,0,2n Cycle,78353,0,Divorced,39,122,34,476,153,752,2,1,11,10,8,51,1,11.991780821917809,0
0,0,0,0,0,50,0,Graduation,84196,0,Single,231,63,190,507,31,215,4,1,7,8,3,56,1,11.860273972602739,0
0,0,0,0,0,50,0,PhD,60554,1,Divorced,110,7,15,76,15,588,4,2,9,8,6,8,0,11.676712328767124,0
0,0,0,0,0,42,0,PhD,50150,0,Married,65,46,11,92,61,135,2,2,7,5,5,32,0,11.813698630136987,0
0,0,0,0,0,53,0,PhD,83443,0,Together,55,42,84,742,56,518,10,1,5,6,2,89,0,11.282191780821918,0
0,0,0,0,0,64,0,Graduation,27215,2,Divorced,8,5,28,22,9,30,1,4,4,2,6,50,1,12.219178082191782,0
0,0,0,0,0,72,0,Graduation,69267,0,Single,95,44,146,499,73,778,4,2,5,3,7,31,0,12.556164383561644,1
0,0,0,0,0,50,0,PhD,69283,0,Married,0,62,8,134,26,674,3,4,13,7,5,41,1,10.830136986301369,0
0,0,1,0,0,54,0,Graduation,73691,0,Married,85,21,73,250,43,707,2,2,8,6,2,58,1,11.432876712328767,0
0,0,0,0,0,54,0,2n Cycle,54690,1,Married,7,16,18,37,9,111,1,3,5,3,3,76,1,11.43013698630137,0
0,0,0,0,0,54,0,2n Cycle,78041,0,Married,72,35,17,553,160,482,4,1,9,4,2,93,0,12.323287671232876,0
0,0,0,0,0,49,0,Graduation,37697,1,Single,11,6,8,21,4,34,1,1,3,2,6,82,0,11.178082191780822,0
0,0,0,0,0,71,0,PhD,65324,0,Married,21,0,5,102,32,384,2,3,9,6,4,0,1,11.252054794520548,0
0,0,0,0,0,42,0,2n Cycle,32146,1,Married,4,3,3,23,7,26,0,2,4,2,6,16,0,10.92054794520548,0
0,0,0,0,0,41,0,Graduation,23228,1,Married,7,3,5,49,4,53,0,4,4,3,8,91,0,11.26849315068493,0
0,0,1,0,1,77,0,Graduation,92344,0,Married,51,24,119,694,19,992,10,0,5,5,1,9,0,11.241095890410959,0
0,0,0,0,0,54,0,Master,80573,0,Together,60,138,15,430,92,829,6,1,13,4,2,85,0,12.495890410958904,0
0,0,0,0,0,74,0,PhD,69702,0,Together,50,9,57,240,19,664,7,2,10,7,4,8,1,12.145205479452056,0
0,0,0,0,0,58,0,Graduation,57136,0,Divorced,34,140,127,599,12,267,5,1,7,7,6,18,0,11.904109589041095,1
1,0,0,1,1,47,0,Master,88097,1,Married,0,0,75,480,126,163,5,1,8,6,9,24,0,12.652054794520549,1
0,0,0,0,0,56,0,PhD,66582,0,Single,16,25,0,420,38,789,8,1,9,2,1,83,0,11.112328767123287,0
0,0,0,0,0,77,0,Graduation,42192,0,Married,17,15,7,15,6,40,1,1,3,2,4,40,0,11.6,0
0,0,0,0,0,63,0,PhD,31497,0,Together,13,1,4,28,1,108,1,2,4,3,8,22,1,12.35068493150685,0
0,0,1,0,0,55,0,PhD,57642,0,Single,8,6,27,58,0,580,6,3,6,7,4,24,1,11.257534246575343,0
0,0,0,0,0,85,0,PhD,51141,0,Single,0,0,6,7,0,144,1,1,4,3,5,96,0,11.764383561643836,0
0,0,0,0,0,50,0,Graduation,59481,0,Together,71,3,58,85,66,178,3,2,8,3,2,47,1,11.471232876712328,0
0,0,0,0,0,73,0,Master,77027,0,Married,45,57,11,242,0,820,3,2,6,8,4,23,1,11.183561643835617,0
0,0,0,0,0,29,0,2n Cycle,7500,0,Married,15,18,50,14,22,3,1,3,3,3,9,24,0,12.424657534246576,1
1,0,0,0,1,75,0,Graduation,80763,0,Married,192,168,231,108,42,674,11,1,6,5,3,17,0,11.66027397260274,1
0,0,1,0,0,82,0,PhD,48948,0,Divorced,160,8,42,206,49,437,10,2,5,7,6,53,0,12.194520547945206,1
0,0,0,0,0,76,0,Master,51529,0,Widow,6,4,22,35,0,400,1,2,5,9,8,14,1,11.597260273972603,0
0,0,0,1,1,60,0,PhD,81051,0,Married,38,29,14,249,29,1142,5,1,12,5,2,43,0,10.89041095890411,0
0,0,0,0,0,64,0,Graduation,36443,1,Married,4,0,20,46,3,65,1,4,3,3,8,9,1,12.189041095890412,0
0,0,0,1,0,70,0,PhD,55521,1,Single,0,0,4,26,0,416,3,9,6,6,7,11,2,11.473972602739726,1
0,0,0,0,1,66,0,Master,82576,0,Together,168,55,18,445,18,1206,4,1,12,2,1,66,0,12.698630136986301,0
0,0,0,0,0,36,0,Master,10979,0,Divorced,2,4,4,10,2,8,0,2,3,3,5,34,0,10.893150684931507,0
0,0,0,0,0,49,0,Graduation,20180,0,Single,15,42,18,24,20,18,1,1,4,2,7,27,0,12.142465753424657,0
0,0,0,0,0,69,0,Master,52973,0,Married,12,0,199,76,9,856,6,7,9,9,8,92,1,12.427397260273972,0
0,0,0,0,0,64,0,Graduation,49678,0,Married,3,5,20,56,2,229,2,2,4,6,7,81,1,12.191780821917808,0
0,0,0,0,0,66,1,Graduation,80982,1,Single,104,137,22,401,22,505,5,3,11,11,5,48,1,12.26027397260274,0
0,0,0,0,0,53,0,Basic,14188,0,Married,16,7,27,11,12,2,0,1,4,2,6,40,0,12.12054794520548,0
0,0,0,0,0,60,0,2n Cycle,76800,0,Married,35,26,81,255,71,173,4,1,7,4,1,33,0,11.098630136986301,0
0,0,0,0,0,40,0,2n Cycle,41473,1,Single,15,8,9,20,3,21,0,1,3,2,7,80,0,11.816438356164383,0
0,0,0,0,0,42,0,Graduation,28427,1,Together,3,3,6,19,3,18,0,2,3,2,8,67,0,12.063013698630137,0
0,0,0,0,0,40,0,Graduation,29938,1,Single,0,3,11,7,2,3,0,2,3,1,6,52,0,11.46027397260274,0
0,0,1,0,0,55,0,Graduation,33697,1,Single,0,3,11,7,3,4,0,1,2,1,7,34,0,11.575342465753424,0
0,0,0,0,0,68,0,Graduation,64849,0,Single,94,48,108,350,84,652,3,1,6,9,5,42,0,12.413698630136986,1
0,0,1,0,0,56,0,PhD,30396,1,Married,0,0,12,6,1,15,1,2,2,1,7,22,0,10.953424657534246,1
1,0,0,0,0,79,0,PhD,64014,2,Together,0,0,8,30,0,406,2,7,5,8,7,56,1,10.841095890410958,0
0,0,0,0,0,69,0,Graduation,46984,1,Widow,2,1,8,10,1,19,0,1,3,1,5,71,1,12.04931506849315,0
0,0,0,0,0,51,0,PhD,28440,1,Together,0,1,0,24,0,38,0,1,3,2,8,87,0,11.767123287671232,0
0,0,0,0,0,40,0,Graduation,70596,0,Single,17,44,26,534,0,347,5,1,12,3,2,68,0,12.520547945205479,0
0,0,0,0,0,49,0,Graduation,31615,1,Divorced,6,3,9,20,11,2,0,2,3,2,7,82,0,12.076712328767123,0
0,0,0,0,0,40,0,Graduation,19986,1,Married,0,6,6,5,2,3,0,1,3,0,7,74,0,11.41095890410959,0
0,0,0,0,1,57,0,Graduation,77382,0,Together,112,48,134,231,105,491,7,2,12,5,1,36,1,11.263013698630138,0
0,0,0,0,0,50,0,Graduation,27573,1,Married,39,15,15,110,15,50,1,4,4,5,8,45,0,12.052054794520547,0
0,0,0,0,0,55,0,Master,61872,0,Married,36,5,16,159,27,330,4,4,9,4,4,81,1,11.331506849315069,0
0,0,0,0,0,49,0,Graduation,53858,0,Married,58,53,26,221,150,407,3,4,6,4,4,50,1,12.424657534246576,0
0,0,0,0,0,48,0,Graduation,54233,0,Married,21,8,142,158,0,652,6,4,5,11,8,46,1,12.186301369863013,0
1,0,0,0,0,47,0,Graduation,70440,0,Together,76,117,88,499,102,690,10,1,7,5,3,49,0,11.512328767123288,0
0,0,0,0,0,66,0,Graduation,54753,0,Together,7,107,131,227,59,197,2,3,11,5,4,87,1,11.583561643835617,0
0,0,0,0,0,56,0,Graduation,26304,1,Married,2,1,4,5,0,4,0,1,2,1,7,5,0,11.805479452054794,0
0,0,0,0,0,43,0,Master,18492,1,Together,2,2,1,2,1,2,0,1,2,1,8,75,0,10.854794520547944,0
0,0,0,0,0,65,0,Graduation,13672,1,Together,2,2,5,9,1,6,0,2,3,1,8,86,1,11.98904109589041,0
0,0,1,0,0,51,0,Graduation,32233,1,Single,25,15,72,35,11,138,2,2,2,6,9,26,0,12.64931506849315,1
0,0,0,1,0,62,0,Master,57288,0,Together,0,0,60,21,0,527,1,3,8,8,6,27,1,10.8,0
0,0,0,0,0,63,0,Graduation,39552,1,Divorced,4,3,41,147,24,165,2,7,5,6,8,54,1,12.317808219178081,1
0,0,0,1,0,70,0,Master,70638,0,Divorced,16,12,63,215,12,1016,5,1,10,4,3,69,0,11.865753424657534,0
0,0,0,0,0,35,0,2n Cycle,24683,1,Married,6,4,6,10,7,8,0,2,4,2,5,98,0,11.098630136986301,0
0,0,0,0,0,49,0,Graduation,59809,0,Married,32,16,49,141,41,598,3,3,6,3,8,36,2,12.484931506849316,0
1,0,1,0,1,50,0,PhD,86836,0,Married,0,21,63,273,21,179,10,1,6,6,5,7,0,12.583561643835617,1
0,0,0,0,0,62,0,PhD,36736,1,Single,0,0,4,3,0,10,0,1,2,1,6,52,1,11.926027397260274,0
0,0,0,0,0,58,0,Graduation,46904,1,Single,0,4,31,56,9,153,1,4,4,5,8,20,1,12.441095890410958,0
0,0,0,0,0,72,0,Graduation,39722,0,Married,2,0,8,5,0,32,0,2,3,2,5,92,1,11.131506849315068,0
1,0,0,0,0,53,0,Graduation,69209,0,Married,229,32,128,849,48,496,3,2,6,5,4,4,0,12.56986301369863,0
0,0,0,0,0,39,0,PhD,45921,0,Married,24,9,12,49,3,102,1,1,6,2,4,23,0,11.093150684931507,0
0,1,0,1,0,57,0,Graduation,56534,0,Together,10,7,46,61,0,691,4,4,7,10,8,35,1,11.723287671232876,1
0,0,0,0,0,67,0,Graduation,69096,0,Together,7,49,109,159,82,247,2,1,10,5,4,4,1,11.542465753424658,0
0,0,0,0,0,47,0,Graduation,41986,0,Divorced,8,5,12,8,3,27,0,3,4,3,4,15,1,11.172602739726027,0
0,0,0,0,0,49,0,2n Cycle,79689,0,Single,180,26,121,640,37,311,9,1,13,4,2,65,0,11.92054794520548,0
0,0,0,0,0,56,0,Graduation,54165,0,Together,15,4,11,73,6,127,1,1,7,2,2,72,0,11.876712328767123,0
0,0,0,0,0,72,0,PhD,55707,0,Married,30,7,35,82,66,208,2,2,9,3,3,91,1,11.306849315068494,0
0,0,0,0,0,60,0,Graduation,30630,1,Divorced,2,1,10,12,0,27,0,2,3,2,7,67,1,11.208219178082192,0
0,0,0,0,0,68,0,Graduation,26091,1,Together,8,10,20,19,17,15,1,3,3,2,5,84,1,11.128767123287671,0
0,0,0,0,0,74,1,Graduation,22263,1,Divorced,0,0,2,2,0,17,0,2,3,1,6,31,1,11.038356164383561,0
0,0,0,0,0,55,0,Graduation,24206,1,Single,3,2,3,8,2,7,0,1,3,1,6,66,0,12.098630136986301,0
0,0,0,1,0,51,0,PhD,45207,1,Married,0,0,2,10,0,203,1,5,6,3,6,64,1,12.421917808219177,0
0,0,0,0,0,67,0,PhD,51518,0,Together,17,8,4,66,4,350,2,2,10,3,3,92,1,11.526027397260274,0
0,0,0,0,1,62,0,Graduation,77437,0,Married,29,21,29,442,44,560,5,1,13,4,1,70,0,11.378082191780821,0
0,0,0,0,0,56,0,Graduation,68695,0,Together,106,81,40,356,50,458,4,1,7,4,2,3,0,10.8,0
0,0,0,0,0,77,0,PhD,46681,0,Together,15,15,38,69,19,269,6,2,4,4,5,52,2,11.512328767123288,0
0,0,0,0,0,69,0,Graduation,60230,0,Single,39,20,40,367,81,520,3,2,6,6,5,78,1,11.898630136986302,0
0,0,0,0,0,41,1,PhD,39684,1,Single,6,0,17,35,4,19,1,2,2,2,7,41,0,12.501369863013698,1
0,0,1,0,0,56,0,Graduation,40590,1,Widow,6,0,37,50,11,154,4,5,3,3,6,30,1,11.528767123287672,0
0,0,0,0,0,78,0,Basic,28389,0,Together,7,5,8,3,4,1,0,1,2,1,7,49,0,12.394520547945206,0
0,0,0,0,0,69,0,Master,64857,0,Single,210,14,43,717,0,556,5,1,10,7,4,78,0,12.386301369863014,0
0,0,0,0,0,67,0,2n Cycle,38741,1,Single,8,10,13,17,6,7,0,2,3,2,7,60,1,11.038356164383561,0
0,0,0,0,0,56,0,Master,26877,0,Single,20,13,40,76,18,101,1,2,6,3,6,74,0,11.64931506849315,0
0,0,0,0,0,45,0,2n Cycle,70829,1,Married,72,70,23,106,19,141,2,2,8,4,3,87,1,11.364383561643836,0
0,0,1,0,0,80,0,PhD,71604,0,Together,98,53,97,528,75,345,3,1,5,8,4,3,0,11.402739726027397,1
0,0,1,0,0,75,0,Graduation,16813,0,Single,12,8,13,11,2,4,0,1,3,2,7,49,0,11.734246575342466,0
0,0,0,1,1,38,0,PhD,51563,0,Married,0,0,36,48,0,1166,4,1,10,4,8,60,0,12.531506849315068,0
0,0,0,0,0,40,0,PhD,30298,0,Single,6,3,0,12,1,6,1,1,3,1,3,48,0,10.901369863013699,0
0,0,0,0,0,70,0,PhD,59821,0,Married,0,0,35,70,0,629,2,6,7,11,8,11,1,12.002739726027396,0
0,0,0,0,0,74,0,Master,58217,2,Single,3,1,13,13,5,68,0,1,4,2,6,84,1,12.402739726027397,0
0,0,0,0,0,41,0,PhD,18988,1,Married,2,0,1,6,1,6,0,2,3,1,7,43,0,10.89041095890411,0
0,0,0,0,0,62,0,Graduation,45146,1,Divorced,0,0,15,5,0,33,1,2,2,1,4,28,1,11.745205479452055,0
0,0,0,0,0,54,0,Graduation,64795,0,Married,38,5,77,119,29,412,3,3,12,3,2,23,1,12.235616438356164,0
0,0,0,0,0,59,0,PhD,47472,1,Together,0,0,8,11,0,56,0,2,4,2,5,39,1,11.572602739726028,0
1,0,1,0,0,68,0,2n Cycle,82347,0,Married,202,54,63,845,133,556,7,1,10,7,3,38,0,12.432876712328767,1
0,0,0,0,0,53,0,Graduation,22063,1,Married,3,10,11,13,11,7,0,2,3,2,7,43,0,11.67945205479452,0
0,0,0,0,0,40,0,Graduation,55357,2,Married,84,64,64,116,25,374,2,3,11,6,5,66,0,12.145205479452056,0
1,0,1,0,1,56,0,Graduation,75759,0,Married,89,22,182,708,91,1394,7,1,9,9,5,46,0,11.465753424657533,1
0,0,0,0,0,37,0,Graduation,20518,1,Single,4,1,9,6,1,4,1,1,2,1,5,58,0,10.904109589041095,0
0,0,0,0,0,65,0,Master,17144,1,Together,0,2,6,19,2,18,0,5,4,3,7,96,1,11.156164383561643,0
0,0,0,0,0,35,0,Graduation,18351,0,Married,0,12,7,9,14,1,0,1,3,2,7,1,0,11.454794520547946,0
0,0,0,0,0,47,0,Graduation,71427,2,Married,15,123,23,177,64,212,2,2,8,8,4,26,0,11.087671232876712,0
0,0,0,0,0,65,0,PhD,65695,0,Married,0,32,6,189,58,371,4,2,10,5,4,50,1,11.197260273972603,0
0,0,0,0,0,40,0,PhD,33454,1,Married,3,10,23,56,1,76,0,2,4,4,8,32,0,11.931506849315069,0
1,0,0,0,0,64,0,Graduation,86429,0,Single,29,28,37,873,18,464,4,0,7,7,2,10,0,11.391780821917807,1
0,0,0,0,0,54,0,Graduation,16626,2,Together,21,3,13,22,1,8,0,3,3,3,9,76,0,11.241095890410959,0
0,0,0,0,0,60,0,Graduation,52117,0,Together,30,10,20,107,0,112,2,2,4,5,7,55,1,12.657534246575343,0
0,0,0,0,0,69,0,Master,69245,0,Together,80,30,61,214,30,428,5,2,10,6,3,8,1,11.216438356164383,0
0,0,0,0,0,58,0,Graduation,42664,0,Married,0,0,0,3,0,21,0,1,3,1,6,44,1,11.07123287671233,0
0,0,0,0,0,57,0,PhD,36778,1,Married,2,4,4,34,4,29,0,3,3,3,9,63,1,12.687671232876712,0
0,0,0,0,0,69,0,PhD,35340,1,Widow,0,0,5,12,1,27,0,2,3,2,5,1,1,10.789041095890411,0
0,0,0,0,0,60,0,Master,69882,0,Single,132,127,165,635,127,292,7,1,9,3,1,94,0,11.421917808219177,0
0,0,0,0,0,70,0,Graduation,38946,0,Together,6,6,41,82,6,116,1,2,6,3,5,84,1,11.468493150684932,0
0,0,0,0,0,60,0,2n Cycle,60161,0,Divorced,46,44,177,212,8,584,4,3,8,11,8,17,1,12.471232876712328,0
0,0,0,0,0,67,0,PhD,33438,1,Widow,3,1,6,16,2,62,1,4,4,2,5,81,1,11.556164383561644,0
0,0,0,0,0,49,0,Graduation,30772,1,Married,2,2,4,4,1,7,0,1,2,1,6,89,1,11.087671232876712,0
0,0,0,0,0,38,0,Master,61787,0,Divorced,78,73,85,414,48,621,4,1,6,8,5,71,0,11.76986301369863,0
0,0,0,0,0,54,0,Graduation,22804,1,Single,2,1,1,7,1,14,0,1,2,2,9,75,0,11.7013698630137,0
0,0,0,0,0,66,1,Graduation,57957,0,Together,77,59,29,177,5,290,6,7,8,4,3,24,1,11.64931506849315,0
0,0,0,0,0,50,0,Graduation,56243,1,Single,4,0,7,35,3,347,2,6,8,4,5,26,2,11.284931506849315,0
0,0,0,0,0,71,0,Graduation,46734,0,Married,26,5,29,137,23,110,1,2,5,6,7,40,1,12.4,0
0,0,0,0,0,38,0,Graduation,17323,0,Married,6,14,5,17,1,3,0,1,3,1,8,38,0,12.506849315068493,0
0,0,0,0,0,52,0,Graduation,7500,1,Single,12,3,20,10,7,5,1,4,3,3,7,54,0,11.295890410958904,0
1,0,0,1,0,51,0,PhD,46374,0,Married,0,0,17,21,0,408,1,3,7,7,8,1,1,11.073972602739726,1
0,0,0,0,0,58,0,PhD,56320,0,Married,116,53,83,172,77,201,4,3,9,5,4,11,1,12.013698630136986,0
1,0,0,0,0,70,0,Graduation,80395,0,Married,80,25,48,706,76,445,5,1,12,6,2,62,0,11.386301369863014,0
0,0,0,0,0,46,0,Graduation,21645,1,Together,4,0,19,23,5,14,0,3,3,3,9,75,0,12.608219178082193,1
